Job Description,Candidate,Score,Status
Big Data Engineer,Resume1.pdf,30.7%,Review
Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Big Data Engineer,Resume_1_Arjun_Mehta.pdf,35.8%,Shortlisted
Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,17.2%,Review
Big Data Engineer,Resume_3_Li_Wei.pdf,18.4%,Review
Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,18.7%,Review
Big Data Engineer,Resume_5_David_Chen.pdf,22.4%,Review
Big Data Engineer,Resume_6_Marcus_Thorne.pdf,5.0%,Auto-Rejected
Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Big Data Engineer,Resume_8_Julian_Vane.pdf,5.4%,Auto-Rejected
Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Senior Big Data Engineer,Resume1.pdf,24.3%,Review
Senior Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,5.3%,Auto-Rejected
Senior Big Data Engineer,Resume_1_Arjun_Mehta.pdf,23.4%,Review
Senior Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,26.0%,Review
Senior Big Data Engineer,Resume_3_Li_Wei.pdf,5.3%,Auto-Rejected
Senior Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,13.3%,Auto-Rejected
Senior Big Data Engineer,Resume_5_David_Chen.pdf,16.2%,Review
Senior Big Data Engineer,Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Senior Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Senior Big Data Engineer,Resume_8_Julian_Vane.pdf,5.7%,Auto-Rejected
Senior Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Lead Big Data Engineer,Resume1.pdf,24.5%,Review
Lead Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,5.6%,Auto-Rejected
Lead Big Data Engineer,Resume_1_Arjun_Mehta.pdf,23.9%,Review
Lead Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,25.4%,Review
Lead Big Data Engineer,Resume_3_Li_Wei.pdf,12.8%,Auto-Rejected
Lead Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,13.4%,Auto-Rejected
Lead Big Data Engineer,Resume_5_David_Chen.pdf,16.1%,Review
Lead Big Data Engineer,Resume_6_Marcus_Thorne.pdf,5.4%,Auto-Rejected
Lead Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.4%,Auto-Rejected
Lead Big Data Engineer,Resume_8_Julian_Vane.pdf,6.2%,Auto-Rejected
Lead Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Principal Big Data Engineer,Resume1.pdf,24.3%,Review
Principal Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Principal Big Data Engineer,Resume_1_Arjun_Mehta.pdf,15.9%,Review
Principal Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,25.4%,Review
Principal Big Data Engineer,Resume_3_Li_Wei.pdf,5.2%,Auto-Rejected
Principal Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,5.6%,Auto-Rejected
Principal Big Data Engineer,Resume_5_David_Chen.pdf,16.2%,Review
Principal Big Data Engineer,Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Principal Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.0%,Auto-Rejected
Principal Big Data Engineer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Principal Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Junior Big Data Engineer,Resume1.pdf,31.9%,Review
Junior Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Junior Big Data Engineer,Resume_1_Arjun_Mehta.pdf,31.4%,Review
Junior Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,17.6%,Review
Junior Big Data Engineer,Resume_3_Li_Wei.pdf,20.6%,Review
Junior Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,21.1%,Review
Junior Big Data Engineer,Resume_5_David_Chen.pdf,24.1%,Review
Junior Big Data Engineer,Resume_6_Marcus_Thorne.pdf,5.1%,Auto-Rejected
Junior Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.0%,Auto-Rejected
Junior Big Data Engineer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Junior Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.2%,Auto-Rejected
Associate Big Data Engineer,Resume1.pdf,24.3%,Review
Associate Big Data Engineer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
Associate Big Data Engineer,Resume_1_Arjun_Mehta.pdf,15.9%,Review
Associate Big Data Engineer,Resume_2_Sarah_Jenkins.pdf,17.1%,Review
Associate Big Data Engineer,Resume_3_Li_Wei.pdf,5.5%,Auto-Rejected
Associate Big Data Engineer,Resume_4_Elena_Rodriguez.pdf,5.9%,Auto-Rejected
Associate Big Data Engineer,Resume_5_David_Chen.pdf,16.2%,Review
Associate Big Data Engineer,Resume_6_Marcus_Thorne.pdf,5.1%,Auto-Rejected
Associate Big Data Engineer,Resume_7_Chloe_Simmons.pdf,0.0%,Auto-Rejected
Associate Big Data Engineer,Resume_8_Julian_Vane.pdf,5.9%,Auto-Rejected
Associate Big Data Engineer,Resume_9_Sofia_Rossi.pdf,4.2%,Auto-Rejected
Hadoop Developer,Resume1.pdf,31.9%,Review
