Rank,Candidate,Status,Final Score,Skills Match,Exp Score,Edu Score,Semantic Sim,Summary
1,Resume_1_Arjun_Mehta.pdf,Shortlisted,39.5%,60.0%,45.0%,0.0%,10.1%,Candidate scored 39.5/100. 
2,Resume1.pdf,Needs Review,28.2%,20.0%,54.0%,35.0%,2.6%,Candidate scored 28.2/100. Strengths include: Strong professional experience match. Areas for concern: Missing core technical skills.
3,Resume_5_David_Chen.pdf,Needs Review,22.1%,20.0%,46.0%,0.0%,1.6%,Candidate scored 22.1/100. Areas for concern: Missing core technical skills.
4,Resume_4_Elena_Rodriguez.pdf,Needs Review,21.9%,40.0%,16.0%,0.0%,5.7%,Candidate scored 21.9/100. Areas for concern: Minimal relevant work history.
5,Resume_3_Li_Wei.pdf,Needs Review,21.6%,40.0%,15.0%,0.0%,5.5%,Candidate scored 21.6/100. Areas for concern: Minimal relevant work history.
6,Resume_2_Sarah_Jenkins.pdf,Needs Review,14.2%,0.0%,41.0%,18.0%,0.6%,Candidate scored 14.2/100. Areas for concern: Missing core technical skills.
7,Resume_8_Julian_Vane.pdf,Auto-Rejected,4.7%,0.0%,15.0%,0.0%,0.9%,"Candidate scored 4.7/100. Areas for concern: Missing core technical skills, Minimal relevant work history."
8,Resume_6_Marcus_Thorne.pdf,Auto-Rejected,4.3%,0.0%,14.0%,0.0%,0.4%,"Candidate scored 4.3/100. Areas for concern: Missing core technical skills, Minimal relevant work history."
9,Resume_10_Dr._Helena_Vance.pdf,Auto-Rejected,4.2%,0.0%,14.0%,0.0%,0.3%,"Candidate scored 4.2/100. Areas for concern: Missing core technical skills, Minimal relevant work history."
10,Resume_9_Sofia_Rossi.pdf,Auto-Rejected,3.4%,0.0%,7.0%,12.0%,0.3%,"Candidate scored 3.4/100. Areas for concern: Missing core technical skills, Minimal relevant work history."
11,Resume_7_Chloe_Simmons.pdf,Auto-Rejected,0.1%,0.0%,0.0%,0.0%,0.4%,"Candidate scored 0.1/100. Areas for concern: Missing core technical skills, Minimal relevant work history."
